reaction   FLUX    DeltaG
DPR_b                 0.00002                -6.85542
DRPAr_b                 0.02470                -1.50000
DTMPK_b                 0.00000                37.92450
E4PD_b                 0.00000                32.27037
ECOAH1_b                 0.00000                -8.43742
ECOAH3_b                 0.00000                -5.53742
ECOAH7_b                 0.00000                -5.53742
EHGLAT_b                 0.00000                 4.56258
FBA2_b                 0.00000               -41.93742
FBA3_b                 0.00000                 1.50000
FDFP_b                 0.00000               140.91174
FERO_b                 0.00014               -41.22890
FF_26_b                 0.00000                33.37287
FRUpts_b                 0.00000                35.57287
G1SAT_b                 0.00269               -44.62450
G3PD2_b                 0.45618               -53.64328
G6PDH2r_b                 0.00000                15.84458
GAL6PI_b                 0.00000                 1.50000
GALKr_b                 0.00000                33.57287
GALpts_b                 0.00000                37.77287
GALTpts_b                 0.00000                37.37287
GAMpts_b                 1.05719                -1.50000
GARFT_b                 0.00000               -19.55163
GF6PTAr_b                 0.00000                 1.50000
GHMT2r_b                 0.03292               -15.04458
GK1_b                 0.00000                36.52450
GLCOAD_b                 0.00000               -16.30000
GLTPD_b                 0.00000               -21.60250
GLUR_b                 0.00000                 1.50000
GLXO1_b                 0.00000                13.48328
GLYALDDr_b                 0.00000                37.18328
GLYD_b                 0.00000                36.70250
GUI1_b                 0.00000                -0.60000
HACD1_b                 0.00000               -21.40250
HACD2_b                 0.00000               -24.00250
HACD3_b                 0.00000               -24.10250
HACD4_b                 0.00000               -24.10250
HACD5_b                 0.00000               -24.10250
HACD6_b                 0.00000               -24.10250
HACD7_b                 0.00000                24.10250
HACD9_b                 0.00000               -24.10250
HADPCOADH3_b                 0.00000               -24.10250
HCO3E_b                 0.00000                 1.50000
HIBD_b                 0.00000               -26.50250
HISabc_b                 0.00000                16.07587
HISDr_b                 0.00000               -30.73742
HSDy_b                 0.00506               -45.97992
HSTPTr_b                 0.00312               -17.59491
ICHORS_b                 0.00000                -0.90000
ILETA_b                 0.00000                35.58708
IMACTD_b                 0.00000                23.78328
IMPC_b                 0.00312                -1.50000
IPDDI_b                 0.00000                 4.80000
IPPMIa_b                 0.00000                -2.23742
IPPMIb_b                 0.00000                -6.33742
LACpts_b                 0.00000                36.57287
LDH_D_b                 0.00000               -34.62963
LDH_L_b                11.54675               -37.72963
LEUTA_b                 0.00000                29.38708
MALT_b                 0.00000                14.20000
MALTpts_b                 0.00000                32.97287
MANAO_b                 0.00000               -22.00250
MANpts_b                 0.00000                38.17287
MNLpts_b                 0.00000                36.67287
MTHFC_b                 0.00000                 1.50000
MTHFD_b                 0.00000                 1.50000
NA6PH_b                 0.00000                 3.20000
NAPRTr_b                 0.00009               -41.28786
NBAH_b                 0.00000                 0.30000
NDPK1_b                 0.00000                 2.00000
NDPK2_b                 0.00000                28.67874
NDPK3_b                 0.00000                35.32450
NDPK4_b                 0.00000                 1.50000
NDPK5_b                 0.00000                66.04899
NDPK6_b                 0.00000                36.62450
NDPK7_b                 0.00000                67.44899
NDPK8_b                 0.00000                67.54899
NO3R2_b                 0.00000                96.41603
NPHSr_b                 0.00000               102.06258
OBTFL_b                 0.00000               -31.62450
ORNTAr_b                 1.21428                -1.50000
ORPT_b                 0.00000                 8.13623
PAPPT2_b                 0.00000                -5.64837
PDHbr_b                 0.00000                 3.50000
PEPC_b                 1.75574               -24.75408
PGAMT_b                 0.16796                -1.50000
PGCDr_b                 0.00000               -29.72509
PGLer_b                 0.00000               -21.53871
PGMT_b                 0.11919                -1.50000
PMANM_b                 0.00000               -40.12450
PPM_b                 0.00000                13.80000
PPM2_b                 0.02470                -1.50000
PRAI_b                 0.00000                 9.80000
PRMICIi_b                 0.00000                45.42450
PUTA3_b                 1.21428                -1.50000
PYK3_b                 0.00000                 3.50000
RAFH_b                 0.00000                24.10000
RE0453C_b                 0.00000               -65.94899
RETOx_b                 0.00000               -16.40250
RPE_b                 0.00000                 1.50000
RPI_b                 3.27198                -8.14458
RSLML_b                 0.00000               -29.43742
S7PIr_b                 0.00000                 1.25163
SBTpts_b                 0.00000                39.47287
SERAT_b                 0.00000                54.62450
SHK3Dr_b                 0.01253               -66.56700
SUCpts_b                 0.00000                42.87287
TALA_b                 4.31994               -10.56711
TGBPA_b                 0.00000               -34.83742
THRAr_b                 0.01276               -26.72450
TKT1_b                 1.06152                -3.69295
TKT2_b                 1.04899                -1.50000
TMDPP_b                 0.00000                18.44250
TPI_b                 4.92528                -1.50000
TREpts_b                 0.00000                44.27287
TRSARr_b                 0.00000                38.30250
TYRTA_b                 0.00454               -41.96191
UAG2E_b                 0.00000                 1.50000
UAG4E_b                 0.00000                 1.50000
UDNDMx_b                 0.00000                35.00528
UDPG4E_b                 0.00000                -1.30000
UGLT_b                 0.00000               -24.12450
UMPK_b                 0.00000                60.57874
UPPDC2_b                 0.00000                48.80000
UPPRTr_b                 0.02469                -1.50000
URCN_b                 0.00000               -15.63742
VALTA_b                 0.96176                -7.63742
XYLOD_b                 0.00000               -14.40250
